"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 11:02:44 GMT 2023","Mon Dec 25 11:02:55 GMT 2023","10490","","Login to the application","","Successful Login","","Successful Login",""
"passed","Mon Dec 25 11:02:55 GMT 2023","Mon Dec 25 11:02:59 GMT 2023","3880","","Login to the application","","Failed Login","","Failed Login",""
