"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 14:22:16 GMT 2023","Mon Dec 25 14:22:19 GMT 2023","3809","","Login to the application","","Failed Login","","Failed Login",""
"passed","Mon Dec 25 14:21:52 GMT 2023","Mon Dec 25 14:22:16 GMT 2023","23374","","Login to the application","","Successful Login","","Successful Login",""
