"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 08 10:09:43 GMT 2024","Mon Jan 08 10:09:53 GMT 2024","9422","","Login to the application","","Failed Login","","Failed Login",""
"broken","Mon Jan 08 10:09:30 GMT 2024","Mon Jan 08 10:09:43 GMT 2024","12927","","Login to the application","","Successful Login","","Successful Login",""
