"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 13:36:45 GMT 2023","Mon Dec 25 13:36:49 GMT 2023","4008","","Login to the application","","Failed Login","","Failed Login",""
"passed","Mon Dec 25 13:36:31 GMT 2023","Mon Dec 25 13:36:45 GMT 2023","14745","","Login to the application","","Successful Login","","Successful Login",""
