"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 14:49:28 GMT 2023","Mon Dec 25 14:49:32 GMT 2023","3887","","Login to the application","","Failed Login","","Failed Login",""
"passed","Mon Dec 25 14:49:17 GMT 2023","Mon Dec 25 14:49:28 GMT 2023","10262","","Login to the application","","Successful Login","","Successful Login",""
