"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 15:36:43 GMT 2023","Mon Dec 25 15:36:59 GMT 2023","16133","","Login to the application","","Successful Login","","Successful Login",""
"passed","Mon Dec 25 15:36:59 GMT 2023","Mon Dec 25 15:37:03 GMT 2023","3837","","Login to the application","","Failed Login","","Failed Login",""
