"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 15:16:37 GMT 2023","Mon Dec 25 15:16:44 GMT 2023","6485","","Login to the application","","Successful Login","","Successful Login",""
"passed","Mon Dec 25 15:16:44 GMT 2023","Mon Dec 25 15:16:48 GMT 2023","3674","","Login to the application","","Failed Login","","Failed Login",""
