"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 08 10:08:13 GMT 2024","Mon Jan 08 10:08:25 GMT 2024","11369","","Login to the application","","Successful Login","","Successful Login",""
"passed","Mon Jan 08 10:08:25 GMT 2024","Mon Jan 08 10:08:29 GMT 2024","4262","","Login to the application","","Failed Login","","Failed Login",""
