"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 14:37:20 GMT 2023","Mon Dec 25 14:37:28 GMT 2023","7911","","Login to the application","","Successful Login","","Successful Login",""
"passed","Mon Dec 25 14:37:28 GMT 2023","Mon Dec 25 14:37:32 GMT 2023","3705","","Login to the application","","Failed Login","","Failed Login",""
