"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 15:23:19 GMT 2023","Mon Dec 25 15:23:23 GMT 2023","3646","","Login to the application","","Failed Login","","Failed Login",""
"passed","Mon Dec 25 15:23:14 GMT 2023","Mon Dec 25 15:23:19 GMT 2023","5553","","Login to the application","","Successful Login","","Successful Login",""
