"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 15:46:37 GMT 2023","Mon Dec 25 15:46:42 GMT 2023","4926","","Login to the application","","Successful Login","","Successful Login",""
"passed","Mon Dec 25 15:46:42 GMT 2023","Mon Dec 25 15:46:46 GMT 2023","3688","","Login to the application","","Failed Login","","Failed Login",""
